locus_id,locus_name,locus_type,token,building,floor,zone,scale,dwell_category,sward_ids,sward_count,function,hazard_level,hazard_grade,tags,description,congestion_prone,sector_id,gateway_no,gateway_name,building_no,floor_no,location_x,location_y,locus_version
GW-293,fab_4F_X29Y07_호이스트,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-293,1,WORK,medium,2.0,,,False,Y1_SKHynix,293,fab_4F_X29Y07_호이스트,2.0,7.0,328.0,67.0,v2
GW-282,fab_4F_X22Y11,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-282,1,WORK,medium,2.0,,,False,Y1_SKHynix,282,fab_4F_X22Y11,2.0,7.0,262.0,126.0,v2
GW-277,fab_4F_X10Y09,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-277,1,WORK,medium,2.0,,,False,Y1_SKHynix,277,fab_4F_X10Y09,2.0,7.0,108.0,97.0,v2
GW-328,fab_5F_X06Y13,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-328,1,WORK,medium,2.0,,,False,Y1_SKHynix,328,fab_5F_X06Y13,2.0,22.0,63.0,155.0,v2
GW-344,fab_6F_X25Y04,WORK_AREA,work_area,FAB,6F,,POINT,SHORT_STAY,GW-344,1,WORK,medium,2.0,,,False,Y1_SKHynix,344,fab_6F_X25Y04,2.0,23.0,286.0,31.0,v2
GW-290,fab_4F_X22Y07,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-290,1,WORK,medium,2.0,,,False,Y1_SKHynix,290,fab_4F_X22Y07,2.0,7.0,263.0,66.0,v2
GW-345,fab_5F_X09Y06,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-345,1,WORK,medium,2.0,,,False,Y1_SKHynix,345,fab_5F_X09Y06,2.0,22.0,98.0,51.0,v2
GW-235,fab_1F_X14Y09,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-235,1,WORK,medium,2.0,,,False,Y1_SKHynix,235,fab_1F_X14Y09,2.0,4.0,157.0,99.0,v2
GW-322,fab_3F_X24Y02,WORK_AREA,work_area,FAB,3F,,POINT,SHORT_STAY,GW-322,1,WORK,medium,2.0,,,False,Y1_SKHynix,322,fab_3F_X24Y02,2.0,21.0,276.0,12.0,v2
GW-327,fab_2F_X16Y14,WORK_AREA,work_area,FAB,2F,,POINT,SHORT_STAY,GW-327,1,WORK,medium,2.0,,,False,Y1_SKHynix,327,fab_2F_X16Y14,2.0,20.0,185.0,168.0,v2
GW-276,fab_4F_X27Y13,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-276,1,WORK,medium,2.0,,,False,Y1_SKHynix,276,fab_4F_X27Y13,2.0,7.0,323.0,155.0,v2
GW-324,fab_3F_X19Y03,WORK_AREA,work_area,FAB,3F,,POINT,SHORT_STAY,GW-324,1,WORK,medium,2.0,,,False,Y1_SKHynix,324,fab_3F_X19Y03,2.0,21.0,216.0,20.0,v2
GW-194,fab_1F_X28Y06,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-194,1,WORK,medium,2.0,,,False,Y1_SKHynix,194,fab_1F_X28Y06,2.0,4.0,323.0,54.0,v2
GW-315,fab_5F_X29Y07_호이스트,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-315,1,WORK,medium,2.0,,,False,Y1_SKHynix,315,fab_5F_X29Y07_호이스트,2.0,22.0,329.0,68.0,v2
GW-348,fab_5F_X24Y09,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-348,1,WORK,medium,2.0,,,False,Y1_SKHynix,348,fab_5F_X24Y09,2.0,22.0,275.0,97.0,v2
GW-166,wwt_1F_X02Y03,WORK_AREA,work_area,WWT,1F,,POINT,SHORT_STAY,GW-166,1,WORK,medium,2.0,,,False,Y1_SKHynix,166,wwt_1F_X02Y03,1.0,3.0,6.0,136.0,v2
GW-161,wwt_1F_X14Y23,WORK_AREA,work_area,WWT,1F,,POINT,SHORT_STAY,GW-161,1,WORK,medium,2.0,,,False,Y1_SKHynix,161,wwt_1F_X14Y23,1.0,3.0,76.0,12.0,v2
GW-266,wwt_2F_X10Y23,WORK_AREA,work_area,WWT,2F,,POINT,SHORT_STAY,GW-266,1,WORK,medium,2.0,,,False,Y1_SKHynix,266,wwt_2F_X10Y23,1.0,10.0,52.0,12.0,v2
GW-224,wwt_2F_X10Y18,WORK_AREA,work_area,WWT,2F,,POINT,SHORT_STAY,GW-224,1,WORK,medium,2.0,,,False,Y1_SKHynix,224,wwt_2F_X10Y18,1.0,10.0,52.0,43.0,v2
GW-270,wwt_2F_X10Y08,WORK_AREA,work_area,WWT,2F,,POINT,SHORT_STAY,GW-270,1,WORK,medium,2.0,,,False,Y1_SKHynix,270,wwt_2F_X10Y08,1.0,10.0,52.0,105.0,v2
GW-182,wwt_호이스트_1-0,WORK_AREA,work_area,WWT,1F,,POINT,SHORT_STAY,GW-182,1,WORK,medium,2.0,,,False,Y1_SKHynix,182,wwt_호이스트_1-0,1.0,3.0,7.0,18.0,v2
GW-180,wwt_B1F_X16Y08,WORK_AREA,work_area,WWT,B1F,,POINT,SHORT_STAY,GW-180,1,WORK,medium,2.0,,,False,Y1_SKHynix,180,wwt_B1F_X16Y08,1.0,2.0,89.0,106.0,v2
GW-222,wwt_2F_X09Y13,WORK_AREA,work_area,WWT,2F,,POINT,SHORT_STAY,GW-222,1,WORK,medium,2.0,,,False,Y1_SKHynix,222,wwt_2F_X09Y13,1.0,10.0,47.0,75.0,v2
GW-271,wwt_2F_X03Y08,WORK_AREA,work_area,WWT,2F,,POINT,SHORT_STAY,GW-271,1,WORK,medium,2.0,,,False,Y1_SKHynix,271,wwt_2F_X03Y08,1.0,10.0,12.0,105.0,v2
GW-159,wwt_1F_X03Y13,WORK_AREA,work_area,WWT,1F,,POINT,SHORT_STAY,GW-159,1,WORK,medium,2.0,,,False,Y1_SKHynix,159,wwt_1F_X03Y13,1.0,3.0,11.0,75.0,v2
